ID,p,RMSE.train,RMSE.test,R2.train,R2.test,NVAR
ridge,0.7,0.452439527421384,1.04136098327611,0.988616527891036,0.946753801084408,301
lasso,0.7,0.382922580835241,1.17128157198654,0.991845907716,0.932638984239392,301
enet,0.7,0.667405191648714,1.12433172042225,0.975229610884993,0.937930973580482,301
glmnet,0.7,0.889145802472775,1.20706916586451,0.956035753643379,0.928459772188472,301
rfe_lm,0.7,1.24495327319705,1.1619776912795,0.913809426516729,0.933704876081771,31
pca_lm,0.7,0.795719252408916,1.23707450075053,0.964789402120859,0.924858870911807,35
s3b_lm,0.7,0.987451801867474,1.11091063259103,0.945776757941671,0.939403958643103,14
pcr,0.7,0.821126000688035,1.00829794069432,0.962505007081883,0.95008124252139,301
knn,0.7,0.482443713542813,0.919961381583468,0.98705664177365,0.958444816922687,301
rfe_knn,0.7,0.360442868399133,1.07174498932392,0.99277518814475,0.943601321245513,31
s3b_knn,0.7,0.575070811986762,1.00576781711924,0.98160938222407,0.950331450633234,14
pca_knn,0.7,0.529593569664786,0.915510725334775,0.984403071755693,0.958845921712216,301
rf,0.7,0.359506016540201,1.02648152364151,0.992812696347412,0.948264544202281,301
rfe_rf,0.7,0.345364373973061,1.04722423106789,0.993367019210331,0.946152521505478,31
pca_rf,0.7,0.364655852333113,1.0163199511569,0.992605308787354,0.949283776291872,301
s3b_rf,0.7,0.387654753934749,0.870916849797197,0.991643125193617,0.962757451461771,14
ridge,0.75,0.351165665816504,1.11031935484911,0.99301644477275,0.943199709339417,301
lasso,0.75,0.339082878943983,1.13240436699825,0.993488752544443,0.940917643570919,301
enet,0.75,0.318136827441576,1.11386239998166,0.994268340680252,0.942836629866991,301
glmnet,0.75,0.898159912224909,1.16408473136903,0.954316453519407,0.937565602791796,301
rfe_lm,0.75,0.835755104742048,1.35871146632659,0.960444165340192,0.914943165030131,40
pca_lm,0.75,0.727020781212605,1.27566146068517,0.970067283874778,0.925023423269093,35
s3b_lm,0.75,0.938339634084697,1.15438864343275,0.950137666581374,0.938601349104108,13
pcr,0.75,0.559684757357882,1.06419787791339,0.982260579202172,0.947820547915352,301
knn,0.75,0.585132529238218,0.817724470729294,0.980610752156742,0.969191629670381,301
rfe_knn,0.75,0.326580097127101,0.837577331416801,0.993960070008059,0.967677528064045,40
